Longitude,Latitude,Pixel,Scan
22.576567,-70.5266077,3600,100
22.5794815,-70.5265354,3700,100
22.5823968,-70.526463,3800,100
22.5853128,-70.5263906,3900,100
22.5882295,-70.5263181,4000,100
22.591147,-70.5262455,4100,100
22.5940653,-70.5261729,4200,100
22.5969844,-70.5261002,4300,100
22.5999042,-70.5260274,4400,100
22.6028248,-70.5259546,4500,100
22.6057461,-70.5258817,4600,100
22.6086682,-70.5258087,4700,100
22.6115911,-70.5257357,4800,100
22.6145147,-70.5256626,4900,100
22.6174391,-70.5255895,5000,100
22.6203643,-70.5255162,5100,100
22.6232902,-70.5254429,5200,100
22.6262169,-70.5253696,5300,100
22.6291444,-70.5252961,5400,100
22.6320726,-70.5252226,5500,100
22.6350016,-70.5251491,5600,100
22.6379314,-70.5250754,5700,100
22.640862,-70.5250017,5800,100
22.6437933,-70.524928,5900,100
22.6467253,-70.5248542,6000,100
22.6496582,-70.5247803,6100,100
22.6525918,-70.5247063,6200,100
22.6555262,-70.5246323,6300,100
22.6584613,-70.5245582,6400,100
22.6613973,-70.524484,6500,100
22.664334,-70.5244098,6600,100
22.6672714,-70.5243355,6700,100
22.6702097,-70.5242611,6800,100
22.6731487,-70.5241866,6900,100
22.6760885,-70.5241121,7000,100
22.679029,-70.5240376,7100,100
22.6819704,-70.5239629,7200,100
22.6849125,-70.5238882,7300,100
22.6878553,-70.5238134,7400,100
22.690799,-70.5237386,7500,100
22.6937434,-70.5236637,7600,100
22.6966886,-70.5235887,7700,100
22.6996346,-70.5235137,7800,100
22.7025813,-70.5234386,7900,100
22.7055289,-70.5233634,8000,100
22.7084772,-70.5232881,8100,100
22.7114263,-70.5232128,8200,100
22.7143761,-70.5231374,8300,100
22.7173267,-70.523062,8400,100
22.7202782,-70.5229864,8500,100
22.7232303,-70.5229109,8600,100
22.7261833,-70.5228352,8700,100
22.7291371,-70.5227595,8800,100
22.7320916,-70.5226837,8900,100
22.7350469,-70.5226078,9000,100
22.738003,-70.5225319,9100,100
22.7409598,-70.5224559,9200,100
22.7439175,-70.5223798,9300,100
22.7468759,-70.5223037,9400,100
22.7498351,-70.5222275,9500,100
22.7527951,-70.5221512,9600,100
22.7557558,-70.5220748,9700,100
22.7587174,-70.5219984,9800,100
22.7616797,-70.5219219,9900,100
22.7646428,-70.5218454,10000,100
22.7676067,-70.5217688,10100,100
22.7705714,-70.5216921,10200,100
22.7735369,-70.5216153,10300,100
22.7765031,-70.5215385,10400,100
22.7794702,-70.5214616,10500,100
22.782438,-70.5213846,10600,100
22.7854066,-70.5213076,10700,100
22.788376,-70.5212305,10800,100
22.7913461,-70.5211533,10900,100
22.7943171,-70.5210761,11000,100
22.7972888,-70.5209987,11100,100
22.8002614,-70.5209214,11200,100
22.8032347,-70.5208439,11300,100
22.8062088,-70.5207664,11400,100
22.8091837,-70.5206888,11500,100
22.8121594,-70.5206111,11600,100
22.8151359,-70.5205334,11700,100
22.8181131,-70.5204556,11800,100
22.8210912,-70.5203777,11900,100
22.8240402,-70.5203006,11999,100
22.4723403,-70.5300637,0,200
22.4752278,-70.5299937,100,200
22.4781159,-70.5299237,200,200
22.4810048,-70.5298536,300,200
22.4838945,-70.5297834,400,200
22.4867849,-70.5297132,500,200
22.489676,-70.529643,600,200
22.4925679,-70.5295726,700,200
22.4954606,-70.5295022,800,200
22.498354,-70.5294317,900,200
22.5012482,-70.5293612,1000,200
22.5041431,-70.5292906,1100,200
22.5070388,-70.5292199,1200,200
22.5099352,-70.5291492,1300,200
22.5128324,-70.5290784,1400,200
22.5157303,-70.5290075,1500,200
22.518629,-70.5289366,1600,200
22.5215284,-70.5288656,1700,200
22.5244286,-70.5287945,1800,200
22.5273296,-70.5287234,1900,200
22.5302313,-70.5286522,2000,200
22.5331337,-70.528581,2100,200
22.536037,-70.5285096,2200,200
22.5389409,-70.5284383,2300,200
22.5418457,-70.5283668,2400,200
22.5447512,-70.5282953,2500,200
22.5476574,-70.5282237,2600,200
22.5505644,-70.5281521,2700,200
22.5534722,-70.5280804,2800,200
22.5563807,-70.5280086,2900,200
22.55929,-70.5279367,3000,200
22.5622,-70.5278648,3100,200
22.5651108,-70.5277928,3200,200
22.5680224,-70.5277208,3300,200
22.5709347,-70.5276487,3400,200
22.5738478,-70.5275765,3500,200
22.5767616,-70.5275043,3600,200
22.5796762,-70.527432,3700,200
22.5825916,-70.5273596,3800,200
22.5855077,-70.5272872,3900,200
22.5884246,-70.5272147,4000,200
22.5913423,-70.5271421,4100,200
22.5942607,-70.5270695,4200,200
22.5971798,-70.5269968,4300,200
22.6000998,-70.526924,4400,200
22.6030205,-70.5268512,4500,200
22.605942,-70.5267783,4600,200
22.6088642,-70.5267053,4700,200
22.6117872,-70.5266323,4800,200
22.614711,-70.5265592,4900,200
22.6176355,-70.526486,5000,200
22.6205608,-70.5264128,5100,200
22.6234868,-70.5263395,5200,200
22.6264137,-70.5262661,5300,200
22.6293413,-70.5261927,5400,200
22.6322696,-70.5261192,5500,200
22.6351988,-70.5260456,5600,200
22.6381286,-70.525972,5700,200
22.6410593,-70.5258983,5800,200
22.6439908,-70.5258245,5900,200
22.646923,-70.5257507,6000,200
22.6498559,-70.5256768,6100,200
22.6527897,-70.5256028,6200,200
22.6557242,-70.5255287,6300,200
22.6586595,-70.5254546,6400,200
22.6615955,-70.5253805,6500,200
22.6645323,-70.5253062,6600,200
22.6674699,-70.5252319,6700,200
22.6704083,-70.5251576,6800,200
22.6733474,-70.5250831,6900,200
22.6762874,-70.5250086,7000,200
22.679228,-70.524934,7100,200
22.6821695,-70.5248594,7200,200
22.6851117,-70.5247847,7300,200
22.6880547,-70.5247099,7400,200
22.6909985,-70.5246351,7500,200
22.6939431,-70.5245601,7600,200
22.6968884,-70.5244852,7700,200
22.6998345,-70.5244101,7800,200
22.7027814,-70.524335,7900,200
22.705729,-70.5242598,8000,200
22.7086775,-70.5241846,8100,200
22.7116267,-70.5241092,8200,200
22.7145766,-70.5240338,8300,200
